message,user_id,class_id,op_tags,sum_content_text
"用户：已选已确定，谢谢
老师：好的不客气哦
老师：心怡妈妈，您那边刚刚通话的时候会比较嘈杂一点，我听不太清楚，就是说我们9月份会有一个续订三期的活动，宝宝现在读的是二阶嘛，二阶一整年的习惯都养成的很好，下个阶段呢，我们就是呃，培养他大班到一年级的一个能力目标去设计好的。10月份会有老用户的这个价格和赠品优惠，您看需要预约上这个报名活动不，有没有什么不清楚的。
老师：这是一条引用/回复消息：
""[语音]""
------
欣怡妈妈看到记得回复一下哦
用户：一阶段的时候，一个月完成后，还有一个阅读测评，巩固练习我觉得挺好的，现在二阶段都没有了
老师：有的噢
老师：这个就是每个月结束的测评
用户：每次送礼品是扣成长豆吗
用户：我们的成长豆咋觉得变少了
用户：一直存着两科攒的才1500
用户：能看到成长豆的支出记录吗
老师：不会啊，心怡妈妈送的礼物是咱们完成5节阅读之后，您这边要发朋友圈分享，上传截图之后才会送过来的，应该是心怡宝贝在日的当中，他兑换了这些装单的奖励物品，您可以查看成长部个明细，您点击我的，然后点击成长度，点进去就可以看到查看成长度的明细了。
老师：您点击我的点击成长豆，再点这个成长豆旁边的箭头
用户：这估计是小孩看绘本扣的成长豆
用户：这也不对呀
用户：我没搞这些，怎么扣了我这么多成长豆呢？我还积攒着准备兑换礼品的
老师：心怡妈妈，应该是心怡宝贝，在阅读的时候，他看到那个小人有一个成长豆的装扮，然后就点击兑换了，可能宝宝他看到那些裙子啊，什么鞋子，衣服好看一点了，他就会扣成长痘。您要么去设置一下关闭这个装扮吧，我给您发一个操作步骤，您可以尝试去关闭了，这样宝宝就就换不了了。
用户：好的，关键扣豆的时间是早上5点多，那个点小孩还在睡觉
老师：嗯嗯，可是我看星星宝贝他是8月22号5:44有读教学大冒险，他应该是当时阅读了之后就去做的这个装备。嗯，是在周五的那天，周五早上咱们是不是早起了呀，5:44的时候，他就已经在读阅读了。
用户：晚上完成
用户：最近要开学了，怎么找一阶段的阅读
老师：您点击【我的】这个界面，然后点击全部计划，找到已完成
用户：升级的不如以前好找
用户：订单多，翻好久
用户：这个吗
老师：不是点订单，是点全部计划
老师：稍等，给你截个图",36598577,61442,M7,"课程表现：孩子二阶习惯养成好，阅读时会用成长豆兑换装扮
行为习惯：孩子曾在周五早上5点44分进行阅读
生活情况：孩子临近开学，目前处于二阶课程学习
家长需求：家长希望能了解成长豆支出记录，积攒成长豆兑换礼品，同时关注课程阅读测评和查找一阶段阅读的便捷性
规划安排：
沟通态度：回复积极，主动提出问题并与老师沟通"
"用户：第六个月的字卡什么时候发呢？
老师：这周发给你。
用户：周阅读礼一般什么时候发快递？
用户：上次的还没收到
用户：半年礼都收到了",36598577,61442,M7,"课程表现：
行为习惯：
生活情况：
家长需求：家长关心课程配套物品的发放情况
规划安排：
沟通态度：主动沟通"
"用户：我们都上到6月啦？是上完一个月发识字月卡吗？
老师：这周上完  
老师：字卡是奖励
老师：完成这个月的20节会发给孩子
用户：可以的
用户：今天已经完成阅读了",36598577,61442,M5,"课程表现：
行为习惯：
生活情况：
家长需求：家长关心孩子课程进度及识字月卡奖励情况
规划安排：
沟通态度：回复积极"
"用户：第四单元的汉字有吗？
老师：来啦~
用户：想问下，我们的叫叫阅读属于分级阅读的书吗？小羊上山的故事书就很好，故事就一句话，特别简单，可以教小孩自己认字
老师：宝贝妈妈，咱们教教阅读呢，它是线上和线下呃结合的，它不仅仅只是绘本，确实我们是做分级阅读的。
用户：我回去找找一阶段第一个月的看看
老师：您提到的这个小杨上山，他们主要是做线下绘本的，您说的他绘本上面只有一段文字，很适合孩子来识字嘛，但是嗯，我们这个做进阶的话，其实是针对宝贝的年龄啊，一个发展特点去做的，其实会更适合宝贝他久远的长远的去发展。
老师：心怡妈妈，其实宝贝真的非常厉害的，他都能够把前3个月的故事知道，嗯，能够有记忆，然后知道我们故事讲了什么，只是第5个题呢，是心地善良的杰克在永在，呃，城堡里面就有老奶奶嘛，然后他可能对这个故事里面的另一个呃，主人翁，呃，就是我们的巨人她不是特别清楚了，可以带着我们宝宝再去回顾一下我们这个杰克和豆腕这个故事嘛。
用户：好的。到时带她回顾一下
老师：好呢~~
用户：感觉不如之前方便
老师：可能也是因为刚更新还不太熟悉～
用户：小孩子自己可以直接上滑，有时看的还不一定是更新的一级。[捂脸]
用户：还有找一阶的月度内容怎么找呀？
用户：对了我之前买二阶阅读时赠送的绘本和口算月卡怎么激活呢？
老师：这是一条引用/回复消息：
""小孩子自己可以直接上滑，有时看的还不一定是更新的一级。[捂脸]""
------
在学习界面，当天的内容它会闪烁～
老师：这里面应该能找到一阶段的内容的。
老师：这是一条引用/回复消息：
""对了我之前买二阶阅读时赠送的绘本和口算月卡怎么激活呢？""
------
找到我们二阶段的那个订单，点进去它应该会有赠送的内容的激活码，你把那个激活码复制下来，然后去叫叫识字和叫叫口算APP去激活就可以了～
用户：之前点到
用户：可是没有码
老师：妈妈去点我们2阶段的，就是阅读习惯与口才养成的这个订单看看呢。
用户：也没有，所以就很奇怪
老师：这是一条引用/回复消息：
""[图片]""
------
这个是一阶段的订单[捂脸]
老师：去点我们的《阅读习惯与口才养成》
用户：看到了",36598577,61442,M4,"课程表现：孩子能记住前3个月故事内容，但对《杰克和豆蔓》故事里的巨人不太清楚
行为习惯：
生活情况：
家长需求：家长关心孩子识字，希望孩子能自己认字，对叫叫阅读更新后使用便利性有疑问
规划安排：
沟通态度：主动沟通，积极咨询课程相关问题"
"用户：「叫叫阅读�铱铱姐姐：[文件]L2M5快乐识字卡（识字卡）-J12020082-20210825-V1.pdf」
- - - - - - - - - - - - - - -
5月字卡发过了吧？
用户：「叫叫阅读�铱铱姐姐：[文件]24张古诗电子画册集.pdf」
- - - - - - - - - - - - - - -
谢谢
老师：又发了一遍，怕咱们没保存到。
用户：对的
老师：今天有空记得不补读哦宝
老师：今天有空记得补读哦，宝
用户：「叫叫阅读�铱铱姐姐：[文件]2阶5月识字卡.pdf」
- - - - - - - - - - - - - - -
第六单元的生字表没发我哦
老师：这个我还没整理出来，第6主题结束的时候发给你。
用户：怎么分享
用户：「叫叫阅读�铱铱姐姐：1⃣️我们完成本周的5节阅读
2️⃣ 在APP广场页-点击每周一个小礼物-进入活动页→【生成成就海报】→分享朋友圈 
3️⃣2小时后截图→返回上传  
4️⃣审核截图成功后，到活动页点立即领取礼物-填写地址即可」
- - - - - - - - - - - - - - -
这个是心愿礼是吗
用户：好兴奋
用户：加油！
用户：这个是怎么操作
老师：这是一条引用/回复消息：
""[视频]""
------
这里  视频讲解
用户：这个是半年打卡的礼品吗
用户：「叫叫阅读�铱铱姐姐：[图片]」
- - - - - - - - - - - - - - -
4选一吗
老师：这个您引用的这个是本周的4选1哈，扫码可以选。
用户：「叫叫阅读�铱铱姐姐：[图片]」
- - - - - - - - - - - - - - -
这个是啥？
老师：前半年的阅读奖励，完成前半年的内容就可以拿。
用户：怎么选[偷笑]
老师：扫码呀。
用户：「叫叫阅读�铱铱姐姐：[图片]」
- - - - - - - - - - - - - - -
这个不用扫码吧
老师：这个不用，这个就是你在最晚8月3号之前，把咱们前面这六个主题月这半年更新的120节完成，这个是自动给您发放邮寄过来的。
用户：海报的内容有些虚，学了这么多，孩子识字量还是很少，
老师：识字量多少？
用户：识字量少
用户：可以申请吗？
用户：什么时候审核通过
用户：不通过会通知吗
老师：你现在先去截图，然后扫码上传，一般是1~3个工作日会处理完毕，不管到时候是审核通过或者不通过，您点进去都可以看到它给您显示的审核结果，不通过的话会显示原因，通过的话您就确认地址哈。
用户：领取到了",36598577,61442,M6,"课程表现：孩子学了叫叫阅读课程后识字量少
行为习惯：
生活情况：
家长需求：家长关心孩子阅读课程学习，关注识字量提升
规划安排：
沟通态度：回复积极，主动沟通课程相关问题"
"用户：已完成
用户：我们白天上班，一般会在晚上进行。最晚可能10点左右结束
老师：好的，可以的哈[爱心]
用户：已经完成
用户：我还没下班
用户：用平板看的，朋友圈转发不了了
用户：怎么才算通过审核
用户：没有发
用户：显示读1000多天了
用户：不对吧
用户：可能从第一次体验开始算的
用户：我们去年才报的年课",36598577,61442,M0,"课程表现：
行为习惯：
生活情况：家长白天上班，会在晚上陪孩子学习，最晚10点左右结束，使用平板上课
家长需求：
规划安排：
沟通态度：主动沟通，积极反馈课程使用问题"
"用户：这个权益和我之前的会冲突吗？还是累计叠加呀？
用户：我记得是识字和绘本赠送月卡
老师：这是从哪里获得的呢？
用户：上次你教我从续订的里面找到的
老师：这个应该是可以叠加用的，但是你尽快使用，因为超过180天就失效了
用户：兑换码提取了，兑换失败，让联系平台，怎么办？麻烦帮忙咨询一下，谢谢
老师：妈妈，这个是需要在180天内去进行兑换的，您看一下下单时间，是不是已经超过了6个月？
用户：从下单时间算起吗？
用户：从下单早结束了，那我不是亏惨了
老师：我问问看呢
老师：丁怡妈妈，我刚刚看了，就是您这个当时下单的时候，就是您下单成功之后，就给您发了一个短信过来，您当时应该点了那个链接，点了他就已经自动生效，给您激活就已经到期了。前两天不是您在问我能不能叠加吗？应该是有新的内容了，对吧，建议您可以就是嗯，先把那个内容给用了，免得后面又过期了。
用户：好吧！",36598577,61442,M5,"课程表现：
行为习惯：
生活情况：
家长需求：家长关注课程权益叠加及兑换问题，希望解决兑换失败问题
规划安排：
沟通态度：主动沟通，对兑换失败情况较为在意"
"用户：好的，谢谢提醒
老师：不用客气哟～
用户：有时事情多，关键还是对看电子产品时间的控制，怕伤眼睛，有时太晚就没同意他们看了
老师：嗯嗯～也理解的～
老师：更多的是鼓励孩子坚持来完成咱们的阅读了～",36598577,61442,M3,"课程表现：
行为习惯：
生活情况：家长因事情多且担心孩子看电子产品伤眼睛，有时不同意孩子看课程
家长需求：
规划安排：
沟通态度：回复积极"
"用户：吧？文具7件套没有了？
老师：您扫码选择哦，前面很多家长选择了可能是没有，您换一个其他的
用户：你发的是11-17号的，还是前面的做替换呀？
老师：欣怡妈妈没有懂您的意思呢？
老师：前面替换的是什么意思，我们上一周的那个的话已经结束了，然后这个的话是我们新的一周的一个，呃，选择礼物的那个二维码哦。
用户：「叫叫阅读�铱铱姐姐：[图片]」
- - - - - - - - - - - - - - -
是11-17号的阅读选择周礼品，不是过往的做替换吧？
老师：心怡妈妈电话给您说方便吗？因为我确实没有太懂，就是那个过往的做替换是啥意思？
老师：嗯，我再给您解释一下，这个一周一个小礼物，它是这样子的，就是从呃自然的每周星期一到星期天的话，这一周是这些礼物里面选，然后上一周的话，呃，是从上周的周一到周日，然后从那些里面去选，然后每周的话都是不同的一个礼物，当周就结束当周的一个内容了，它不存在有什么替换之类的。是我就我没有懂妈妈的意思。
用户：明白了",36598577,61442,M7,"课程表现：
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：积极沟通，在老师解释后表示明白"
"用户：后面再说吧
用户：暂时不买了，等后面续再说吧，新阶段的才刚开始，不着急
用户：可以，这周内能完成
老师：好嘞~
用户：上次我转朋友圈了
用户：今天收到了故事书
用户：好吧
用户：今天晚上回老家了，路上不方便，明天补",36598577,61442,M2,"课程表现：
行为习惯：
生活情况：家长今晚回老家，路上不方便，明天补相关事宜
家长需求：
规划安排：暂时不买课程，等后续再考虑
沟通态度：回复积极，主动说明情况"
